challan_id,quarter,financial_year,bsr_code,challan_serial_no,challan_date,challan_amount,section_code,status
CH-5239F7DA,Q1,2024-25,0000999,88888,2025-02-18,5445.0,192,ACTIVE
CH-7903333B,Q1,2024-25,0000999,66578,2026-06-04,78877.0,192,ACTIVE
CH-436883F5,Q1,2024-25,4756888,66578,2026-06-12,5656.0,192,ACTIVE
CH-C066F73F,Q2,2024-25,2332111,66578,2026-06-18,212321.0,192,ACTIVE
CH-Q4A11111,Q4,2024-25,1234567,11111,2025-01-31,28857.30,192,ACTIVE
CH-Q4A22222,Q4,2024-25,1234567,22222,2025-02-28,28857.30,192,ACTIVE
CH-Q4A33333,Q4,2024-25,1234567,33333,2025-03-31,28857.30,192,ACTIVE
CH-Q2A11111,Q2,2024-25,7654321,44444,2024-07-31,25000.00,192,ACTIVE
CH-Q2A22222,Q2,2024-25,7654321,55555,2024-08-31,25000.00,192,ACTIVE
CH-Q2A33333,Q2,2024-25,7654321,66666,2024-09-30,25000.00,192,ACTIVE
CH-20925A24,Q1,2024-25,6577898,45456,2026-06-17,464665.0,192,ACTIVE
