generation_id,quarter,financial_year,txt_file_name,fvu_file_name,validation_status,validation_message,generated_by,generated_at,err_file_name,file_name
F24Q-8A93C175,Q1,2024-25,Form24Q_2024-25_Q1_20260616_152147.txt,Form24Q_2024-25_Q1_20260616_152147.fvu,SUCCESS,Validation successful. (Simulated),TestRunner,2026-06-16T15:21:47.699798,,
F24Q-E3E47E7B,Q1,2024-25,Form24Q_2024-25_Q1_20260616_152229.txt,Form24Q_2024-25_Q1_20260616_152229.fvu,SUCCESS,Validation successful. (Simulated),TestRunner,2026-06-16T15:22:29.793961,,
F24Q-E98BBC9A,Q4,2024-25,Form24Q_2024-25_Q4_20260616_152229.txt,Form24Q_2024-25_Q4_20260616_152229.fvu,SUCCESS,Validation successful. (Simulated),TestRunner,2026-06-16T15:22:30.410668,,
F24Q-9A962192,Q4,2024-25,Form24Q_2024-25_Q4_20260616_171055.txt,Form24Q_2024-25_Q4_20260616_171055.fvu,SUCCESS,Validation successful. (Simulated),Rahul Verma,2026-06-16T17:10:56.056352,,
F24Q-724172E4,Q1,2024-25,Form24Q_2024-25_Q1_20260618_155307.txt,Form24Q_2024-25_Q1_20260618_155307.fvu,SUCCESS,Validation successful. (Simulated),Rahul Verma,2026-06-18T15:53:07.607017,,
F24Q-8E118E67,Q4,2024-25,Form24Q_2024-25_Q4_20260618_163020.txt,Form24Q_2024-25_Q4_20260618_163020.fvu,SUCCESS,Validation successful. (Simulated),Rahul Verma,2026-06-18T16:30:20.204636,,
F24Q-3274B9AA,Q4,2024-25,Form24Q_2024-25_Q4_20260618_163052.txt,Form24Q_2024-25_Q4_20260618_163052.fvu,SUCCESS,Validation successful. (Simulated),Rahul Verma,2026-06-18T16:30:52.088188,,
F24Q-18374FD5,Q4,2024-25,Form24Q_2024-25_Q4_20260618_165842.txt,Form24Q_2024-25_Q4_20260618_165842.fvu,SUCCESS,Validation successful. (Simulated),Rahul Verma,2026-06-18T16:58:43.627165,,
F24Q-DA18DA92,Q2,2024-25,Form24Q_2024-25_Q2_20260618_175803.txt,,NOT_VALIDATED,TXT generated. Upload TXT + CSI and click Run FVU Validation to validate.,Rahul Verma,2026-06-18T17:58:03.322018,,
F24Q-03D9525C,Q2,2024-25,Form24Q_2024-25_Q2_20260618_175808.txt,,NOT_VALIDATED,TXT generated. Upload TXT + CSI and click Run FVU Validation to validate.,Rahul Verma,2026-06-18T17:58:08.342711,,
F24Q-9C2226A2,Q4,2024-25,Form24Q_2024-25_Q4_20260618_180051.txt,,NOT_VALIDATED,TXT generated. Upload TXT + CSI and click Run FVU Validation to validate.,Rahul Verma,2026-06-18T18:00:52.019703,,
F24Q-D72A8510,Q4,2024-25,Form24Q_2024-25_Q4_20260618_181122.txt,,NOT_VALIDATED,TXT generated. Upload TXT + CSI and click Run FVU Validation to validate.,Rahul Verma,2026-06-18T18:11:23.089861,,
F24Q-99255583,Q4,2024-25,Form24Q_2024-25_Q4_20260618_181140.txt,,NOT_VALIDATED,TXT generated. Upload TXT + CSI and click Run FVU Validation to validate.,Rahul Verma,2026-06-18T18:11:40.867723,,
