payslip_id,payroll_id,employee_id,financial_year,month,status,remarks,created_by,created_at,confirmed_by,confirmed_at,paid_by,paid_at
PS-2024-04-0001,PAY-13FAC3B2,EMP001,2024-25,4,Confirmed,,HR001,2026-06-30T16:13:06.108445,HR001,2026-06-30T18:03:03.112898,,
PS-2024-04-0002,PAY-7418AC44,EMP002,2024-25,4,Draft,,HR001,2026-06-30T16:13:06.108445,,,,
PS-2024-04-0003,PAY-F0E1AC21,EMP003,2024-25,4,Draft,,HR001,2026-06-30T16:13:06.108445,,,,
PS-2024-04-0004,PAY-B22018D6,EMP004,2024-25,4,Draft,,HR001,2026-06-30T16:13:06.108445,,,,
PS-2024-04-0005,PAY-EBBD0621,HR001,2024-25,4,Confirmed,,HR001,2026-06-30T16:13:06.108445,HR001,2026-06-30T17:26:17.852609,,
PS-2024-04-0006,PAY-3DD137FC,EMP005,2024-25,4,Paid,,HR001,2026-06-30T16:13:06.108445,HR001,2026-06-30T17:17:53.688083,HR001,2026-06-30T17:21:06.297764
PS-2024-04-0007,PAY-A48586EB,EMP006,2024-25,4,Draft,,HR001,2026-06-30T16:13:06.108445,,,,
PS-2025-03-0001,PAY-0C494757,EMP001,2024-25,3,Confirmed,,HR001,2026-07-02T11:32:40.602700,HR001,2026-07-02T11:33:42.189540,,
PS-2025-03-0002,PAY-332C4282,EMP002,2024-25,3,Draft,,HR001,2026-07-02T11:32:40.602700,,,,
PS-2025-03-0003,PAY-4AC89040,EMP003,2024-25,3,Draft,,HR001,2026-07-02T11:32:40.602700,,,,
PS-2025-03-0004,PAY-DE147C5D,EMP004,2024-25,3,Draft,,HR001,2026-07-02T11:32:40.602700,,,,
PS-2025-03-0005,PAY-312933E9,HR001,2024-25,3,Draft,,HR001,2026-07-02T11:32:40.602700,,,,
PS-2025-03-0006,PAY-CD5B7B0C,EMP005,2024-25,3,Draft,,HR001,2026-07-02T11:32:40.602700,,,,
PS-2025-03-0007,PAY-46DD1266,EMP006,2024-25,3,Draft,,HR001,2026-07-02T11:32:40.602700,,,,
PS-2025-03-0008,PAY-056BE9D3,EMP007,2024-25,3,Draft,,HR001,2026-07-02T11:32:40.602700,,,,
PS-2024-04-0008,PAY-B132CD8D,EMP001,2024-25,4,Draft,,HR001,2026-07-02T11:33:42.247104,,,,
PS-2024-04-0009,PAY-9084CDFB,EMP002,2024-25,4,Draft,,HR001,2026-07-02T11:34:25.134750,,,,
