tds_id,employee_id,financial_year,month,tax_regime,annual_taxable_income,estimated_annual_tax,annual_tds,monthly_tds,payroll_id,calculated_at
TDS-9A5B4C96,EMP001,2024-25,4,NEW,966600.00,54990.00,54990.00,4582.50,PAY-F7F43DE1,2026-06-16T13:55:44.336006
TDS-B4955CFC,EMP002,2024-25,4,NEW,696600.00,0.00,0.00,0.00,PAY-ECB8042B,2026-06-16T13:55:44.345452
TDS-7DDD2D69,EMP003,2024-25,4,NEW,1222596.00,94519.20,94519.20,7876.60,PAY-FE0DAFA5,2026-06-16T13:55:44.659050
TDS-E1BD1EC1,EMP004,2024-25,4,NEW,438600.00,0.00,0.00,0.00,PAY-0F58B9EF,2026-06-16T13:55:44.682302
TDS-C273E19A,HR001,2024-25,4,NEW,1655928.00,196778.40,196778.40,16398.20,PAY-5679AF41,2026-06-16T13:55:44.703352
TDS-BA7EF3FA,EMP001,2024-25,5,NEW,966600.00,54990.00,54990.00,4582.50,PAY-6F8D9034,2026-06-16T13:55:45.438322
TDS-C69B930A,EMP002,2024-25,5,NEW,696600.00,0.00,0.00,0.00,PAY-F1627EA3,2026-06-16T13:55:45.446416
TDS-9B0D094D,EMP003,2024-25,5,NEW,1222596.00,94519.20,94519.20,7876.60,PAY-C73406D8,2026-06-16T13:55:45.468876
TDS-36C08353,EMP004,2024-25,5,NEW,438600.00,0.00,0.00,0.00,PAY-3E720E02,2026-06-16T13:55:45.548395
TDS-F30FC9DF,HR001,2024-25,5,NEW,1655928.00,196778.40,196778.40,16398.20,PAY-0895E9A1,2026-06-16T13:55:45.575958
TDS-87F725D9,EMP001,2024-25,6,NEW,966600.00,54990.00,54990.00,4582.50,PAY-5FD6B707,2026-06-16T13:55:45.989385
TDS-70DCFCBC,EMP002,2024-25,6,NEW,696600.00,0.00,0.00,0.00,PAY-1AD8AB29,2026-06-16T13:55:45.997970
TDS-24E96CBC,EMP003,2024-25,6,NEW,1222596.00,94519.20,94519.20,7876.60,PAY-EE3672E3,2026-06-16T13:55:46.021505
TDS-C06B2A3F,EMP004,2024-25,6,NEW,438600.00,0.00,0.00,0.00,PAY-024F84C9,2026-06-16T13:55:46.047286
TDS-15FFE0ED,HR001,2024-25,6,NEW,1655928.00,196778.40,196778.40,16398.20,PAY-8B74238A,2026-06-16T13:55:46.221480
TDS-9A5B4C96_Q4,EMP001,2024-25,1,NEW,966600.00,54990.00,54990.00,4582.50,PAY-F7F43DE1,2026-06-16T13:55:44.336006
TDS-B4955CFC_Q4,EMP002,2024-25,1,NEW,696600.00,0.00,0.00,0.00,PAY-ECB8042B,2026-06-16T13:55:44.345452
TDS-7DDD2D69_Q4,EMP003,2024-25,1,NEW,1222596.00,94519.20,94519.20,7876.60,PAY-FE0DAFA5,2026-06-16T13:55:44.659050
TDS-E1BD1EC1_Q4,EMP004,2024-25,1,NEW,438600.00,0.00,0.00,0.00,PAY-0F58B9EF,2026-06-16T13:55:44.682302
TDS-C273E19A_Q4,HR001,2024-25,1,NEW,1655928.00,196778.40,196778.40,16398.20,PAY-5679AF41,2026-06-16T13:55:44.703352
TDS-BA7EF3FA_Q4,EMP001,2024-25,2,NEW,966600.00,54990.00,54990.00,4582.50,PAY-6F8D9034,2026-06-16T13:55:45.438322
TDS-C69B930A_Q4,EMP002,2024-25,2,NEW,696600.00,0.00,0.00,0.00,PAY-F1627EA3,2026-06-16T13:55:45.446416
TDS-9B0D094D_Q4,EMP003,2024-25,2,NEW,1222596.00,94519.20,94519.20,7876.60,PAY-C73406D8,2026-06-16T13:55:45.468876
TDS-36C08353_Q4,EMP004,2024-25,2,NEW,438600.00,0.00,0.00,0.00,PAY-3E720E02,2026-06-16T13:55:45.548395
TDS-F30FC9DF_Q4,HR001,2024-25,2,NEW,1655928.00,196778.40,196778.40,16398.20,PAY-0895E9A1,2026-06-16T13:55:45.575958
TDS-87F725D9_Q4,EMP001,2024-25,3,NEW,966600.00,54990.00,54990.00,4582.50,PAY-5FD6B707,2026-06-16T13:55:45.989385
TDS-70DCFCBC_Q4,EMP002,2024-25,3,NEW,696600.00,0.00,0.00,0.00,PAY-1AD8AB29,2026-06-16T13:55:45.997970
TDS-24E96CBC_Q4,EMP003,2024-25,3,NEW,1222596.00,94519.20,94519.20,7876.60,PAY-EE3672E3,2026-06-16T13:55:46.021505
TDS-C06B2A3F_Q4,EMP004,2024-25,3,NEW,438600.00,0.00,0.00,0.00,PAY-024F84C9,2026-06-16T13:55:46.047286
TDS-15FFE0ED_Q4,HR001,2024-25,3,NEW,1655928.00,196778.40,196778.40,16398.20,PAY-8B74238A,2026-06-16T13:55:46.221480
